#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.80945     1.80945           0
           2     1.80223     1.80584  0.00255224
           3     1.78403     1.79857  0.00617665
           4     1.82092     1.80416  0.00669946
           5     1.81992     1.80731  0.00605588
           6     1.81746       1.809  0.00527758
           7     1.76135     1.80219  0.00775782
           8      1.7666     1.79774  0.00796262
           9     1.77977     1.79575  0.00732393
          10     1.77769     1.79394  0.00681058
