#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0557905   0.0557905           0
           2   0.0470566   0.0514235  0.00308792
           3   0.0505017   0.0511163  0.00207384
           4   0.0509747   0.0510809  0.00155569
           5   0.0474693   0.0503586  0.00140225
           6   0.0524164   0.0507015  0.00120976
           7   0.0469831   0.0501703  0.00114765
           8    0.047702   0.0498618  0.00104484
           9   0.0515122   0.0500452 0.000944704
          10   0.0521972   0.0502604 0.000874403
