#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.2063      1.2063           0
           2     1.20149     1.20389  0.00170149
           3     1.18935     1.19905  0.00411776
           4     1.21395     1.20277   0.0044663
           5     1.21328     1.20487  0.00403725
           6     1.21164       1.206  0.00351838
           7     1.17423     1.20146  0.00517188
           8     1.17773      1.1985  0.00530842
           9     1.18652     1.19717  0.00488262
          10     1.18512     1.19596  0.00454039
