#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.65995     1.65995           0
           2     1.62056     1.64025   0.0139275
           3     1.69915     1.65989   0.0185253
           4     1.67417     1.66346   0.0142338
           5     1.63151     1.65707   0.0127409
           6     1.63398     1.65322   0.0111834
           7     1.62595     1.64932   0.0102417
           8     1.68229     1.65344  0.00975556
           9     1.65317     1.65341  0.00867165
          10     1.66079     1.65415  0.00783584
