#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.03958    -5.03958           0
           2    -4.99844    -5.01901   0.0145437
           3    -5.07875    -5.03892   0.0189303
           4    -5.05436    -5.04278   0.0145861
           5    -5.01086     -5.0364   0.0129912
           6    -5.01322    -5.03253   0.0113859
           7    -5.00774    -5.02899   0.0102954
           8    -5.06096    -5.03299  0.00975321
           9    -5.03326    -5.03302  0.00866957
          10    -5.03708    -5.03343  0.00781213
