#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.10663     1.10663           0
           2     1.08037      1.0935  0.00928501
           3     1.13277     1.10659   0.0123502
           4     1.11611     1.10897  0.00948919
           5     1.08767     1.10471  0.00849391
           6     1.08932     1.10215   0.0074556
           7     1.08397     1.09955  0.00682783
           8     1.12153      1.1023   0.0065037
           9     1.10211     1.10228   0.0057811
          10      1.1072     1.10277  0.00522389
