#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.37963    -3.37963           0
           2    -3.37788    -3.37876 0.000616157
           3     -3.3796    -3.37904  0.00046999
           4     -3.3802    -3.37933 0.000433133
           5    -3.37935    -3.37933 0.000346542
           6    -3.37924    -3.37932 0.000289116
           7    -3.38179    -3.37967 0.000410914
           8    -3.37867    -3.37955 0.000378127
           9    -3.38009    -3.37961 0.000340945
          10    -3.37629    -3.37927 0.000439502
