#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.19204     1.19204           0
           2     1.20484     1.19844  0.00452723
           3     1.20183     1.19957  0.00315619
           4     1.20239     1.20028  0.00244438
           5     1.19876     1.19997  0.00197434
           6     1.21368     1.20226  0.00265608
           7     1.20084     1.20205  0.00228429
           8     1.20238     1.20209  0.00199911
           9     1.20662      1.2026  0.00183913
          10     1.20348     1.20269  0.00165733
