#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.794693    0.794693           0
           2    0.803229    0.798961  0.00301815
           3    0.801222    0.799715  0.00210413
           4    0.801592    0.800184  0.00162958
           5     0.79917    0.799981  0.00131623
           6    0.809118    0.801504  0.00177072
           7    0.800563     0.80137  0.00152286
           8    0.801584    0.801396  0.00133274
           9    0.804413    0.801732  0.00122609
          10    0.802319     0.80179  0.00110489
