# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
    0.064633           0           0
    0.129266           0           0
    0.193899           0           0
    0.258532           0           0
    0.323165           0           0
    0.387798           0           0
    0.452431           0           0
    0.517064           0           0
    0.581697           0           0
     0.64633           0           0
    0.710963           0           0
    0.775596           0           0
     0.84023 0.000972859 0.000161026
    0.904863    0.146483  0.00202774
    0.969496     1.05743  0.00481544
     1.03413     2.03556  0.00705572
     1.09876     2.27684   0.0100434
     1.16339     2.08694   0.0070381
     1.22803     1.82991  0.00596269
     1.29266     1.61038   0.0062452
     1.35729     1.45047  0.00449446
     1.42193     1.33044  0.00408483
     1.48656     1.24793  0.00335037
     1.55119     1.18242  0.00420709
     1.61583     1.13978  0.00284834
     1.68046     1.11145  0.00218895
     1.74509     1.08861  0.00245375
     1.80973     1.07352  0.00208245
     1.87436       1.061  0.00177326
     1.93899     1.05599  0.00309246
     2.00362     1.05586  0.00275982
     2.06826     1.05475  0.00239038
     2.13289     1.05075  0.00172657
     2.19752     1.04816  0.00181873
     2.26216     1.03951    0.002011
     2.32679     1.03392  0.00236751
     2.39142     1.03091  0.00261784
     2.45606     1.02536   0.0019845
     2.52069     1.01898  0.00177331
     2.58532     1.01829  0.00182972
     2.64995     1.01161  0.00160252
     2.71459     1.01143  0.00158079
     2.77922     1.00698  0.00173453
     2.84385     1.00583  0.00193561
     2.90849    0.999877   0.0013239
     2.97312     1.00014  0.00122078
     3.03775    0.998068  0.00140733
     3.10239    0.998429  0.00145144
     3.16702    0.997015  0.00161597
     3.23165    0.997482  0.00119712
     3.29629    0.994767  0.00164248
     3.36092    0.994759  0.00109322
     3.42555    0.991558  0.00124701
     3.49018    0.992727 0.000827882
     3.55482    0.991244  0.00149829
     3.61945    0.991343   0.0015747
     3.68408    0.991195  0.00086831
     3.74872    0.988504  0.00108538
     3.81335    0.990949  0.00128182
     3.87798    0.989243 0.000996152
     3.94262    0.990625  0.00123676
     4.00725    0.990055  0.00100149
     4.07188    0.989292  0.00134431
     4.13651    0.988377  0.00107834
     4.20115    0.989346  0.00137887
     4.26578    0.986643 0.000753472
     4.33041    0.988328  0.00120756
     4.39505    0.988018  0.00126491
     4.45968    0.987821   0.0012325
     4.52431    0.988029  0.00111595
     4.58895    0.987513 0.000878409
     4.65358    0.988715  0.00120102
     4.71821    0.986512   0.0010644
     4.78285    0.987669 0.000992225
     4.84748     0.98817  0.00102709
     4.91211     0.98649  0.00105189
     4.97674    0.985808 0.000797898
     5.04138    0.987132   0.0009027
     5.10601    0.987672 0.000948861
     5.17064    0.985615   0.0010222
     5.23528    0.988502 0.000821105
     5.29991    0.986121 0.000767687
     5.36454    0.987535 0.000814365
     5.42918    0.987218 0.000939216
     5.49381    0.985954 0.000789571
     5.55844    0.985272  0.00088614
     5.62307    0.986717 0.000831795
     5.68771    0.986231 0.000996948
     5.75234    0.986728 0.000815766
     5.81697     0.98648 0.000562944
     5.88161     0.98629 0.000839553
     5.94624    0.985618 0.000896853
     6.01087    0.986411 0.000922496
     6.07551    0.985284 0.000630915
     6.14014    0.984828   0.0005749
     6.20477    0.985718 0.000801472
      6.2694    0.986393  0.00045369
     6.33404    0.986241 0.000767852
     6.39867     0.98697 0.000787085
