# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
    0.064633           0           0
    0.129266           0           0
    0.193899           0           0
    0.258532           0           0
    0.323165           0           0
    0.387798           0           0
    0.452431           0           0
    0.517064           0           0
    0.581697           0           0
     0.64633           0           0
    0.710963           0           0
    0.775596           0           0
     0.84023  0.00050888 0.000390924
    0.904863    0.146665   0.0134059
    0.969496     1.01001   0.0437054
     1.03413     1.75386   0.0734587
     1.09876     1.91346   0.0957342
     1.16339     1.79859   0.0818569
     1.22803     1.66852    0.073433
     1.29266     1.57476    0.065911
     1.35729      1.3944   0.0654384
     1.42193     1.28662   0.0533303
     1.48656     1.20094   0.0506885
     1.55119     1.14427   0.0397924
     1.61583     1.07209    0.036777
     1.68046     1.04563   0.0339934
     1.74509     1.05884   0.0301261
     1.80973     1.09389   0.0334351
     1.87436     1.09488   0.0259656
     1.93899     1.08963   0.0239601
     2.00362     1.03606   0.0247545
     2.06826      1.0309   0.0277642
     2.13289     1.00474   0.0184481
     2.19752     1.00498   0.0193847
     2.26216     1.01856   0.0214442
     2.32679     1.01774   0.0218783
     2.39142     1.01445   0.0142818
     2.45606     1.03257   0.0198274
     2.52069     1.03916   0.0178454
     2.58532     1.03323   0.0179627
     2.64995      1.0311   0.0171065
     2.71459     1.03077   0.0148522
     2.77922     1.01424   0.0168354
     2.84385    0.996836   0.0179241
     2.90849    0.989233   0.0180192
     2.97312     1.00933   0.0134317
     3.03775    0.989587   0.0162915
     3.10239    0.986105   0.0174419
     3.16702    0.989576    0.021008
     3.23165    0.999908    0.017608
     3.29629    0.983173   0.0172185
     3.36092    0.975344   0.0139709
     3.42555     0.95455   0.0135761
     3.49018    0.962588   0.0136742
     3.55482    0.958249    0.011609
     3.61945    0.963415   0.0162347
     3.68408    0.944164    0.011722
     3.74872    0.968947   0.0114464
     3.81335    0.959422   0.0127753
     3.87798    0.962167   0.0111785
     3.94262    0.967068   0.0152648
     4.00725    0.973051   0.0124985
     4.07188    0.968245   0.0115378
     4.13651    0.970556   0.0122992
     4.20115     0.97358   0.0107318
     4.26578    0.965187  0.00767837
     4.33041    0.972551   0.0100667
     4.39505    0.982103  0.00908768
     4.45968    0.988075   0.0115096
     4.52431    0.980557   0.0114685
     4.58895    0.984149  0.00949374
     4.65358     0.98661  0.00908763
     4.71821    0.980506  0.00731949
     4.78285    0.993554  0.00982248
     4.84748    0.993813   0.0083813
     4.91211    0.994729   0.0108646
     4.97674    0.984367   0.0103798
     5.04138    0.993728   0.0108699
     5.10601    0.988997   0.0105329
     5.17064    0.989859  0.00886228
     5.23528    0.987596    0.010152
     5.29991    0.989899  0.00739623
     5.36454    0.984788  0.00826551
     5.42918    0.983443    0.010082
     5.49381    0.972255  0.00831368
     5.55844    0.982649   0.0114941
     5.62307    0.985856  0.00934542
     5.68771     0.99508  0.00725934
     5.75234    0.992151  0.00880871
     5.81697    0.991791  0.00839614
     5.88161     0.99454    0.006152
     5.94624    0.988915  0.00809509
     6.01087     0.99617  0.00580064
     6.07551    0.998174  0.00634826
     6.14014      1.0028  0.00777532
     6.20477    0.998699  0.00995351
      6.2694     1.01196  0.00820511
     6.33404     1.00031  0.00642379
     6.39867    0.989605  0.00660314
