#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.417461   -0.417461           0
           2   -0.413917   -0.415689  0.00125312
           3   -0.414902   -0.415427 0.000862414
           4   -0.410227   -0.414127  0.00129833
           5   -0.415252   -0.414352  0.00105801
           6   -0.408107   -0.413311  0.00129618
           7     -0.4133   -0.413309  0.00111101
           8   -0.413333   -0.413312 0.000972139
           9   -0.410509   -0.413001 0.000912649
          10     -0.4152   -0.413221 0.000847456
          11   -0.414637    -0.41335 0.000780131
          12   -0.409514    -0.41303 0.000777835
          13   -0.415944   -0.413254 0.000749609
          14   -0.413529   -0.413274 0.000696322
          15   -0.413421   -0.413284 0.000649969
          16   -0.413287   -0.413284 0.000609346
          17   -0.417421   -0.413527 0.000620207
          18   -0.415294   -0.413625 0.000593472
          19   -0.415049     -0.4137 0.000566946
          20   -0.415773   -0.413804 0.000547991
