# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
   0.0256496           0           0
   0.0512993           0           0
   0.0769489           0           0
    0.102599           0           0
    0.128248           0           0
    0.153898           0           0
    0.179547           0           0
    0.205197           0           0
    0.230847           0           0
    0.256496           0           0
    0.282146           0           0
    0.307796           0           0
    0.333445           0           0
    0.359095           0           0
    0.384745           0           0
    0.410394           0           0
    0.436044           0           0
    0.461694           0           0
    0.487343           0           0
    0.512993           0           0
    0.538642           0           0
    0.564292           0           0
    0.589942           0           0
    0.615591           0           0
    0.641241           0           0
    0.666891           0           0
     0.69254           0           0
     0.71819           0           0
     0.74384           0           0
    0.769489           0           0
    0.795139           0           0
    0.820788           0           0
    0.846438 7.29461e-06 3.88285e-06
    0.872088  0.00121739 7.65529e-05
    0.897737   0.0243379 0.000329822
    0.923387      0.1645  0.00118717
    0.949037    0.564617  0.00247552
    0.974686     1.19739  0.00375144
     1.00034     1.85999   0.0032693
     1.02599     2.33547  0.00292785
     1.05164     2.55281   0.0027899
     1.07728     2.54703  0.00239846
     1.10293     2.40752  0.00290663
     1.12858     2.20277  0.00229217
     1.15423     1.97594  0.00291486
     1.17988     1.76086  0.00306192
     1.20553     1.55998  0.00384346
     1.23118      1.3903  0.00253485
     1.25683     1.24766   0.0025014
     1.28248     1.12789  0.00209527
     1.30813     1.02479  0.00187561
     1.33378     0.94324  0.00235748
     1.35943    0.875263  0.00218496
     1.38508    0.817693  0.00187974
     1.41073    0.771521   0.0017089
     1.43638    0.737505  0.00188611
     1.46203    0.709569  0.00179906
     1.48768    0.689945  0.00155727
     1.51333    0.676965  0.00140487
     1.53898    0.669279  0.00130908
     1.56463    0.668936  0.00151278
     1.59028    0.674179  0.00193479
     1.61593    0.683658  0.00144655
     1.64158    0.700513   0.0014372
     1.66723    0.722657  0.00127142
     1.69288     0.74864  0.00142733
     1.71853    0.779367  0.00148022
     1.74418    0.815507  0.00148015
     1.76983     0.85006  0.00152383
     1.79547     0.89127   0.0018106
     1.82112    0.933715  0.00187511
     1.84677      0.9777  0.00153009
     1.87242      1.0217  0.00179516
     1.89807     1.05815  0.00149623
     1.92372     1.09647  0.00183726
     1.94937     1.12898  0.00118365
     1.97502     1.16237  0.00137945
     2.00067     1.18786  0.00180297
     2.02632     1.20428  0.00125573
     2.05197     1.21388  0.00165548
     2.07762     1.21779  0.00140083
     2.10327     1.21163  0.00116797
     2.12892     1.19612  0.00171803
     2.15457     1.17544  0.00206413
     2.18022     1.15582    0.001447
     2.20587     1.12599   0.0015958
     2.23152     1.09706  0.00140362
     2.25717     1.06748  0.00145892
     2.28282     1.03944  0.00130066
     2.30847     1.01198  0.00131264
     2.33412    0.987419  0.00109621
     2.35977    0.964646  0.00120211
     2.38542    0.945428  0.00113989
     2.41107     0.93157  0.00106624
     2.43672    0.916944  0.00127012
     2.46237    0.908118  0.00121923
     2.48802    0.893268 0.000895367
     2.51366    0.883403  0.00143009
     2.53931    0.884334  0.00108387
