# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
   0.0256496           0           0
   0.0512993           0           0
   0.0769489           0           0
    0.102599           0           0
    0.128248           0           0
    0.153898           0           0
    0.179547           0           0
    0.205197           0           0
    0.230847           0           0
    0.256496           0           0
    0.282146           0           0
    0.307796           0           0
    0.333445           0           0
    0.359095           0           0
    0.384745           0           0
    0.410394           0           0
    0.436044           0           0
    0.461694           0           0
    0.487343           0           0
    0.512993           0           0
    0.538642           0           0
    0.564292           0           0
    0.589942           0           0
    0.615591           0           0
    0.641241           0           0
    0.666891           0           0
     0.69254           0           0
     0.71819           0           0
     0.74384           0           0
    0.769489           0           0
    0.795139           0           0
    0.820788           0           0
    0.846438 5.34938e-05 5.21393e-05
    0.872088  0.00133202 0.000246444
    0.897737   0.0258796  0.00132869
    0.923387    0.171494  0.00466119
    0.949037    0.575223  0.00692505
    0.974686     1.21749   0.0112246
     1.00034     1.85806   0.0137345
     1.02599     2.34612   0.0171239
     1.05164     2.55608   0.0169851
     1.07728     2.54799   0.0115564
     1.10293     2.41394   0.0097758
     1.12858     2.21336  0.00880447
     1.15423     1.98482   0.0122345
     1.17988     1.74574   0.0122956
     1.20553     1.55788   0.0112707
     1.23118     1.38049   0.0115283
     1.25683     1.23514  0.00826736
     1.28248     1.12134  0.00849718
     1.30813     1.02691  0.00841139
     1.33378    0.937724   0.0067212
     1.35943    0.864468  0.00803366
     1.38508    0.815368  0.00826079
     1.41073    0.765113  0.00539505
     1.43638    0.735969  0.00634504
     1.46203    0.703044  0.00513485
     1.48768    0.687684  0.00604883
     1.51333    0.674825  0.00512498
     1.53898    0.662878  0.00544028
     1.56463    0.665574  0.00618623
     1.59028    0.674883  0.00686302
     1.61593    0.684978  0.00591866
     1.64158    0.702279  0.00750712
     1.66723    0.726422  0.00547237
     1.69288    0.752883  0.00492774
     1.71853    0.786743  0.00563451
     1.74418    0.817471  0.00589329
     1.76983     0.85536  0.00614242
     1.79547    0.891362  0.00621767
     1.82112    0.940053  0.00666009
     1.84677    0.980859  0.00695553
     1.87242     1.03041  0.00580657
     1.89807       1.057   0.0061459
     1.92372     1.09997  0.00427565
     1.94937      1.1388   0.0055871
     1.97502      1.1735  0.00593788
     2.00067     1.19298  0.00687717
     2.02632     1.20593   0.0050944
     2.05197     1.22392  0.00619763
     2.07762     1.21467  0.00310849
     2.10327     1.20478  0.00536307
     2.12892     1.19744  0.00705042
     2.15457     1.17217  0.00544156
     2.18022     1.14049  0.00658427
     2.20587     1.12185  0.00678236
     2.23152     1.09531  0.00637656
     2.25717     1.06652  0.00564715
     2.28282      1.0387  0.00489687
     2.30847     1.00869  0.00444855
     2.33412    0.970905  0.00535966
     2.35977    0.955929  0.00636014
     2.38542     0.93896  0.00578379
     2.41107    0.928446  0.00550583
     2.43672    0.913694   0.0054506
     2.46237    0.899072  0.00490805
     2.48802    0.885854  0.00403075
     2.51366    0.886099  0.00510078
     2.53931     0.88723  0.00528805
