#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.24533     1.24533           0
           2     1.35539     1.30036   0.0389121
           3     1.23304     1.27792   0.0317584
           4     1.15063      1.2461   0.0364259
           5     1.20615     1.23811    0.030004
           6     1.20058     1.23185   0.0256471
           7     1.26321     1.23633   0.0223709
           8     1.24681     1.23764   0.0196128
           9     1.22887     1.23667   0.0174579
          10     1.26262     1.23926   0.0159038
          11     1.22465     1.23793   0.0145134
          12     1.21682     1.23617   0.0134102
          13     1.25332     1.23749   0.0124433
          14     1.19527     1.23448   0.0119144
          15       1.204     1.23245   0.0112919
          16     1.23041     1.23232   0.0105869
          17     1.07878     1.22329   0.0132687
          18     1.20784     1.22243   0.0125593
          19     1.14535     1.21837   0.0125363
          20     1.17011     1.21596   0.0121395
