# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
   0.0230664           0           0
   0.0461329           0           0
   0.0691993           0           0
   0.0922657           0           0
    0.115332           0           0
    0.138399           0           0
    0.161465           0           0
    0.184531           0           0
    0.207598           0           0
    0.230664           0           0
    0.253731           0           0
    0.276797           0           0
    0.299864           0           0
     0.32293           0           0
    0.345996           0           0
    0.369063           0           0
    0.392129           0           0
    0.415196           0           0
    0.438262           0           0
    0.461329           0           0
    0.484395           0           0
    0.507461           0           0
    0.530528           0           0
    0.553594           0           0
    0.576661           0           0
    0.599727           0           0
    0.622794           0           0
     0.64586           0           0
    0.668926           0           0
    0.691993           0           0
    0.715059           0           0
    0.738126           0           0
    0.761192           0           0
    0.784259           0           0
    0.807325           0           0
    0.830391           0           0
    0.853458           0           0
    0.876524 6.99585e-05 1.37523e-05
    0.899591  0.00341226 0.000126278
    0.922657   0.0474382 0.000623662
    0.945724    0.292613  0.00134452
     0.96879     1.00971  0.00293373
    0.991856     2.24074  0.00418352
     1.01492     3.62274  0.00376393
     1.03799      4.6202  0.00342185
     1.06106     4.89864  0.00479767
     1.08412     4.48556  0.00641389
     1.10719      3.6587  0.00509585
     1.13026      2.6954  0.00443603
     1.15332     1.81533  0.00160554
     1.17639     1.13184  0.00204659
     1.19945     0.65416   0.0016788
     1.22252    0.353257  0.00191819
     1.24559    0.180793  0.00168172
     1.26865   0.0888431   0.0011534
     1.29172    0.049504 0.000785075
     1.31479   0.0429068 0.000745843
     1.33785   0.0615224 0.000834848
     1.36092    0.106164 0.000988631
     1.38399    0.184678  0.00130137
     1.40705    0.299569  0.00155711
     1.43012    0.452163  0.00152285
     1.45319    0.628032  0.00138771
     1.47625     0.79774  0.00151396
     1.49932    0.922325  0.00226328
     1.52238    0.970724  0.00267823
     1.54545    0.927082  0.00258758
     1.56852     0.80737  0.00174262
     1.59158    0.640849 0.000896489
     1.61465     0.46511 0.000848482
     1.63772    0.317825  0.00128371
     1.66078    0.218867  0.00153718
     1.68385      0.1922  0.00170517
     1.70692    0.256026   0.0020708
     1.72998    0.435488  0.00246198
     1.75305    0.749565   0.0023913
     1.77612     1.19712  0.00189161
     1.79918     1.72641  0.00113871
     1.82225     2.23337  0.00233698
     1.84531     2.59947   0.0039007
     1.86838     2.71463  0.00380384
     1.89145      2.5581  0.00481743
     1.91451      2.1802   0.0027844
     1.93758     1.68798  0.00154907
     1.96065     1.20034  0.00133402
     1.98371    0.802421   0.0021696
     2.00678     0.54195  0.00235748
     2.02985    0.433512  0.00237807
     2.05291    0.462683  0.00184974
     2.07598    0.587224  0.00147684
     2.09905    0.757961  0.00096906
     2.12211    0.917367 0.000964304
     2.14518     1.01538  0.00162076
     2.16824     1.02182  0.00159289
     2.19131    0.919245  0.00171332
     2.21438    0.780221 0.000945865
     2.23744    0.654672  0.00126314
     2.26051     0.57293  0.00177233
     2.28358    0.573495   0.0024337
