# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
   0.0230664           0           0
   0.0461329           0           0
   0.0691993           0           0
   0.0922657           0           0
    0.115332           0           0
    0.138399           0           0
    0.161465           0           0
    0.184531           0           0
    0.207598           0           0
    0.230664           0           0
    0.253731           0           0
    0.276797           0           0
    0.299864           0           0
     0.32293           0           0
    0.345996           0           0
    0.369063           0           0
    0.392129           0           0
    0.415196           0           0
    0.438262           0           0
    0.461329           0           0
    0.484395           0           0
    0.507461           0           0
    0.530528           0           0
    0.553594           0           0
    0.576661           0           0
    0.599727           0           0
    0.622794           0           0
     0.64586           0           0
    0.668926           0           0
    0.691993           0           0
    0.715059           0           0
    0.738126           0           0
    0.761192           0           0
    0.784259           0           0
    0.807325           0           0
    0.830391           0           0
    0.853458           0           0
    0.876524 4.23433e-05 4.12711e-05
    0.899591  0.00367986  0.00047753
    0.922657   0.0512281  0.00156612
    0.945724    0.309713  0.00396048
     0.96879     1.04684  0.00732982
    0.991856     2.29575  0.00928643
     1.01492     3.61786  0.00905831
     1.03799     4.56221   0.0124303
     1.06106     4.85358   0.0129895
     1.08412      4.4351    0.010593
     1.10719     3.62652   0.0149817
     1.13026     2.68469   0.0116734
     1.15332     1.83097  0.00821701
     1.17639     1.15776  0.00691683
     1.19945    0.668936  0.00471815
     1.22252    0.362528  0.00309997
     1.24559    0.185309  0.00420993
     1.26865    0.098328  0.00274813
     1.29172   0.0557693  0.00175932
     1.31479   0.0479399  0.00191701
     1.33785   0.0674423  0.00193695
     1.36092    0.112578  0.00209234
     1.38399    0.198325  0.00392277
     1.40705    0.315712  0.00404228
     1.43012    0.467763  0.00504645
     1.45319    0.632284  0.00397686
     1.47625    0.782812   0.0045551
     1.49932    0.900125  0.00675316
     1.52238    0.941455   0.0070295
     1.54545    0.902623  0.00683044
     1.56852    0.791578  0.00550002
     1.59158    0.627255  0.00421439
     1.61465    0.473544  0.00357727
     1.63772    0.328771  0.00339116
     1.66078    0.237848  0.00276072
     1.68385    0.210011  0.00292337
     1.70692    0.276181  0.00395537
     1.72998    0.459346  0.00576611
     1.75305    0.778408  0.00627616
     1.77612     1.20671  0.00601019
     1.79918     1.72335   0.0055101
     1.82225     2.21241   0.0061772
     1.84531     2.56974  0.00889898
     1.86838     2.67025   0.0111743
     1.89145     2.51194  0.00848801
     1.91451     2.15067  0.00810839
     1.93758     1.69136   0.0037346
     1.96065     1.22068  0.00467493
     1.98371    0.828054  0.00487249
     2.00678    0.563975   0.0040488
     2.02985    0.458932   0.0050509
     2.05291    0.475853  0.00458938
     2.07598    0.594467  0.00435269
     2.09905     0.75915  0.00339836
     2.12211    0.907867   0.0041514
     2.14518    0.991897  0.00553066
     2.16824    0.994102  0.00565193
     2.19131    0.924307  0.00549272
     2.21438    0.795521  0.00346278
     2.23744    0.670426  0.00398774
     2.26051    0.590123  0.00628546
     2.28358     0.59915  0.00749496
