#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.54404    -7.54404           0
           2    -7.55198    -7.54801  0.00280557
           3    -7.54044    -7.54549  0.00278375
           4    -7.55004    -7.54663  0.00230921
           5    -7.54766    -7.54683  0.00185656
           6    -7.56762     -7.5503  0.00352098
           7    -7.53614    -7.54827  0.00355145
           8    -7.53552    -7.54668   0.0034466
           9    -7.54177    -7.54613   0.0031066
          10    -7.54375     -7.5459  0.00280511
          11    -7.54672    -7.54597   0.0025511
          12    -7.54153     -7.5456  0.00236518
          13     -7.5287     -7.5443  0.00251544
          14    -7.55368    -7.54497  0.00242331
          15    -7.55421    -7.54559  0.00233874
          16    -7.54875    -7.54578  0.00220089
          17    -7.55852    -7.54653  0.00219525
          18    -7.53604    -7.54595  0.00214926
          19    -7.54675    -7.54599  0.00203656
          20    -7.55459    -7.54642  0.00197957
