#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     7.78181     7.78181           0
           2      7.7392     7.76051   0.0150646
           3     7.80184     7.77428   0.0150806
           4      7.7474     7.76756   0.0127205
           5     7.76245     7.76654   0.0102173
           6     7.64862     7.74689   0.0198594
           7     7.82091     7.75746   0.0196369
           8     7.82852     7.76634   0.0190858
           9     7.79384      7.7694    0.017208
          10     7.78101     7.77056   0.0155263
          11     7.76188     7.76977   0.0141349
          12     7.79204     7.77163   0.0130782
          13     7.86269     7.77863   0.0138214
          14     7.72502      7.7748    0.013354
          15     7.72311     7.77136   0.0129008
          16      7.7527     7.77019    0.012147
          17     7.69932     7.76602   0.0121268
          18      7.8234     7.76921   0.0118646
          19     7.76536     7.76901   0.0112419
          20     7.72043     7.76658    0.010939
