#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   -0.093488   -0.093488           0
           2   -0.229988   -0.161738     0.04826
           3   -0.458848   -0.260775   0.0870285
           4   -0.481452   -0.315944   0.0808894
           5    0.114088   -0.229938    0.100525
           6   -0.086842   -0.206088   0.0865536
           7    0.454182   -0.111764    0.114586
           8    0.337126  -0.0556528    0.113171
           9    0.522508  0.00858733    0.117422
          10   -0.352276   -0.027499    0.111086
          11   -0.342126  -0.0561015    0.104605
          12    0.473266  -0.0119875    0.104778
          13    0.093122 -0.00390215   0.0970293
          14    0.352052   0.0215231   0.0933704
          15   -0.633374  -0.0221367   0.0968167
          16    0.219564 -0.00703038   0.0919367
          17     0.21786  0.00619847   0.0874752
          18    0.080248   0.0103123   0.0827121
          19   -0.096264  0.00470305   0.0785488
          20   -0.448002  -0.0179322   0.0778145
