#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.409983    0.409983           0
           2    0.387589    0.398786  0.00791733
           3       0.374    0.390524  0.00856544
           4    0.339174    0.377686   0.0128401
           5    0.383672    0.378884   0.0103277
           6    0.357814    0.375372  0.00918407
           7    0.368556    0.374398  0.00792352
           8    0.287723    0.363564   0.0122792
           9    0.351619    0.362237   0.0109863
          10    0.294602    0.355473   0.0117871
          11    0.343528    0.354387   0.0107655
          12    0.339392    0.353138  0.00994061
          13    0.341238    0.352222  0.00921799
          14     0.35186    0.352196   0.0085596
          15    0.308804    0.349304  0.00846369
          16    0.335016    0.348411  0.00798168
          17    0.309026    0.346094  0.00784118
          18    0.361686     0.34696  0.00745326
          19    0.361211     0.34771  0.00709862
          20    0.306353    0.345642  0.00703843
