#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     65.8042     65.8042           0
           2     70.9886     68.3964     1.83295
           3     72.1708     69.6545      1.5964
           4     76.4324      71.349     1.89391
           5     69.5682     70.9928     1.54826
           6     75.5586     71.7538     1.46533
           7      79.301      72.832     1.60435
           8     84.2698     74.2617     1.93889
           9     74.6033     74.2997     1.72383
          10     81.3825     75.0079      1.6907
          11     77.4533     75.2303     1.55155
          12     77.3807     75.4095     1.43257
          13     79.6856     75.7384     1.35961
          14     75.4538     75.7181     1.26265
          15     80.2765      76.022     1.21449
          16     76.9568     76.0804     1.13999
          17     82.8422     76.4781     1.14021
          18     79.8288     76.6643     1.09196
          19     73.5128     76.4984     1.04701
          20     79.8155     76.6643     1.00771
