#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.960804   -0.960804           0
           2    -0.96512   -0.962962  0.00152594
           3    -0.96698   -0.964301  0.00149357
           4   -0.972032   -0.966234    0.002014
           5     -0.9638   -0.965747    0.001669
           6   -0.971044    -0.96663  0.00160744
           7   -0.973592   -0.967625  0.00165717
           8   -0.978368   -0.968967  0.00191849
           9   -0.970552   -0.969144  0.00171338
          10   -0.977644   -0.969994  0.00174018
          11   -0.971148   -0.970099  0.00158514
          12   -0.971356   -0.970203   0.0014565
          13    -0.97322   -0.970435  0.00136282
          14   -0.970736   -0.970457  0.00126565
          15   -0.976208    -0.97084  0.00123799
          16    -0.97304   -0.970978  0.00116822
          17   -0.976584   -0.971308   0.0011451
          18   -0.973864    -0.97145  0.00109026
          19   -0.969568   -0.971351  0.00103736
          20   -0.975892   -0.971578  0.00101004
